fdic_cert_number,failure_date,bank_name,city,state,acquiring_institution,event_type,distress_label
32037,1990-07-05,"HOME SB, FSB",SALT LAKE CITY,,,failure,1
32214,1990-06-29,CHARTER SAVINGS & LOAN,STAMFORD,,,failure,1
22320,1990-06-29,ELIOT SAVINGS BANK,BOSTON,,,failure,1
31640,1990-06-29,FIRST JACKSON FSB,JACKSON,,,failure,1
28044,1990-06-29,PIONEER FS & LA,MARIETTA,,,failure,1
22409,1990-06-29,THE MONTGOMERY NATIONAL BANK,MONTGOMERY TWNSP,,,failure,1
27632,1990-06-29,TRAVIS SAVINGS & LOAN ASSOC.,SAN ANTONIO,,,failure,1
32168,1990-06-29,WINDSOR SAVINGS ASSOC.,AUSTIN,,,failure,1
26180,1990-06-28,AMERICAN NATIONAL BANK,ELK CITY,,,failure,1
25874,1990-06-28,"BACLIFF BANK, NATIONAL ASSOCIATION",BACLIFF,,,failure,1
23887,1990-06-28,BROOKWOOD NATIONAL BANK,OKLAHOMA CITY,,,failure,1
23336,1990-06-28,SOUTHWEST NATIONAL BANK,AUSTIN,,,failure,1
5566,1990-06-28,THE VALLEY VIEW NATIONAL BANK,VALLEY VIEW,,,failure,1
30353,1990-06-22,"GERMANIA BANK, FSB",ALTON,,,failure,1
31817,1990-06-22,SOUTHERN FEDERAL BANK FOR SAVINGS,GULFPORT,,,failure,1
24864,1990-06-21,BANK OF EAST TEXAS,TYLER,,,failure,1
25089,1990-06-21,CENTRE NATIONAL BANK-FARMERS BRANCH,FARMERS BRANCH,,,failure,1
26711,1990-06-21,LAKELAND STATE BANK,AUSTIN,,,failure,1
24982,1990-06-21,PEOPLES NATIONAL BANK,CALDWELL,,,failure,1
22852,1990-06-18,FARMERS AND MERCHANTS BANK,BUCKEYE,,,failure,1
24683,1990-06-15,BANK M,MIAMI,,,failure,1
31924,1990-06-15,CHARTER SAVINGS BANK,NEWPORT,,,failure,1
31843,1990-06-15,FIRST FEDERAL SAVINGS & LOAN,METAIRIE,,,failure,1
27890,1990-06-15,MOULTRIE SAVINGS BANK FSB,MOULTRIE,,,failure,1
27617,1990-06-15,UNITED S & L OF TRENTON,TRENTON,,,failure,1
24349,1990-06-14,"ALLIANCE BANK, NATIONAL ASSOCIATION",AUSTIN,,,failure,1
21187,1990-06-14,EXCHANGE NATIONAL BANK OF DEL CITY,DEL CITY,,,failure,1
3012,1990-06-14,NATIONAL CITY BANK OF DENVER,DENVER,,,failure,1
21476,1990-06-14,THE WIMBERLEY BANK,WIMBERLEY,,,failure,1
