fdic_cert_number,rssd_id,bank_name,city,state,active_status,total_assets,charter_type,established_date,last_updated
11935,444350,First Texas Bank,Georgetown,TX,True,1329168,0,1898-01-01,2026-07-10
11936,,FARMERS STATE BANK,LUEDERS,,False,,,,2026-07-10
11971,522605,Bar Harbor Bank & Trust,Bar Harbor,ME,True,4672493,0,1887-09-15,2026-07-10
12008,,FARMERS & MECHANICS SAVINGS BANK OF MINNEA,MINNEAPOLIS,,False,,,,2026-07-10
12010,204004,Provident Bank,Jersey City,NJ,True,25187481,0,1839-02-28,2026-07-10
12013,373601,Union County Savings Bank,Elizabeth,NJ,True,1490109,0,1883-10-01,2026-07-10
12015,,"UNITED STATES BK OF NEWARK, N.J.",NEWARK,,False,,,,2026-07-10
12054,,EMIGRANT BANK,NEW YORK,NY,,6412660,,,2026-07-10
12080,,THE TATNALL BANK,REIDSVILLE,,False,,,,2026-07-10
12093,,THE JOHN WARNER BANK,CLINTON,,False,,,,2026-07-10
12124,,WORTHINGTON STATE BANK,WORTHINGTON,,False,,,,2026-07-10
12133,,THE PEOPLES STATE BANK & TRUST CO,ELLINWOOD,,False,,,,2026-07-10
12142,,THE BANK OF KIOWA,KIOWA,,False,,,,2026-07-10
12181,,MONROE BANK&TRUST,MONROE,MI,,1325155,,,2026-07-10
12185,,STATE BANK OF GREENWALD,GREENWALD,,False,,,,2026-07-10
12189,,FARMERS STATE BANK OF KANARANZI,KANARANZI,,False,,,,2026-07-10
12190,,LANESBORO STATE BANK,LANESBORO,,False,,,,2026-07-10
12204,29636,"The Citizens Bank of Philadelphia, Mississippi",Philadelphia,MS,True,1528973,0,1908-01-01,2026-07-10
12213,,REPUBLIC BK OF KANSAS CITY,KANSAS CITY,,False,,,,2026-07-10
12227,,FIRST STATE BANK OF BONNE TERRE,BONNE TERRE,,False,,,,2026-07-10
12229,169653,First Bank,St. Louis,MO,True,6691682,0,1906-07-30,2026-07-10
12261,,FIRST COMMUNITY BANK,TAOS,NM,False,2188154,,,2026-07-10
12294,,FIRST BANK & TRUST CO.,BOOKER,,False,,,,2026-07-10
12295,,THE FIRST STATE BANK,CHILDRESS,,False,,,,2026-07-10
12299,171768,"SouthStar Bank, S.S.B.",Moulton,TX,True,1336572,0,1920-11-06,2026-07-10
12300,,FIRST STATE BANK,PFLUGERVILLE,,False,,,,2026-07-10
12312,,COMMERCIAL STATE BANK,SAN AUGUSTINE,,False,,,,2026-07-10
12368,233031,Regions Bank,Birmingham,AL,True,159430000,0,1928-01-01,2026-07-10
12383,1001648,Carrollton Bank,Carrollton,IL,True,3820112,0,1877-01-01,2026-07-10
12406,,GLENVIEW STATE BANK,GLENVIEW,IL,,1435473,,,2026-07-10
12414,,PEOPLES STATE BANK,ODEBOLT,,False,,,,2026-07-10
12423,,CITIZENS STATE BANK OF EL DORADO,EL DORADO,,False,,,,2026-07-10
12429,,THE STRONG CITY STATE BANK,STRONG CITY,,False,,,,2026-07-10
12437,749242,Renasant Bank,Tupelo,MS,True,27090994,0,1904-02-27,2026-07-10
12441,463735,Hancock Whitney Bank,Gulfport,MS,True,35533297,0,1899-10-09,2026-07-10
12460,,"THE FARMERS STATE BANK OF BARRY COUNTY, EX",EXETER,,False,,,,2026-07-10
12483,,THE FREEDOM STATE BANK,FREEDOM,,False,,,,2026-07-10
12484,75259,First Oklahoma Bank,Jenks,OK,True,1269526,0,1923-01-01,2026-07-10
12501,,CITIZENS STATE BANK,BUFFALO,TX,,1027134,,,2026-07-10
12517,806846,Bank Five Nine,Oconomowoc,WI,True,2609889,0,1859-09-01,2026-07-10
12527,,BANK OF QUITMAN,QUITMAN,,False,,,,2026-07-10
12548,,STATE BANK OF CUBA,CUBA,,False,,,,2026-07-10
12591,72258,The Converse County Bank,Douglas,WY,True,1092587,0,1918-01-01,2026-07-10
12611,372538,The Evangeline Bank and Trust Company,Ville Platte,LA,True,1117417,0,1933-01-01,2026-07-10
12614,667757,Origin Bank,Choudrant,LA,True,10093380,0,1912-11-23,2026-07-10
12627,565750,Bank of Washington,Washington,MO,True,1175143,0,1877-10-29,2026-07-10
12633,853952,The Central Trust Bank,Jefferson City,MO,True,20473249,0,1902-02-03,2026-07-10
12667,,WILLIAMS SAVINGS BANK,WILLIAMS,,False,,,,2026-07-10
12718,,THE PLANTERS BANK & TRUST COMPANY,HAYNESVILLE,,False,,,,2026-07-10
12736,,"FIRST INTEGRITY BANK, N.A.",STAPLES,,False,,,,2026-07-10
12743,,ELBA STATE BANK,ELBA,,False,,,,2026-07-10
